Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Damian Jones (12740931),Damian Jones,12740931,CPT,1800,GS@TOR 06/02/2019 08:00PM ET,GS,12.47
PF,Jonas Jerebko (12740894),Jonas Jerebko,12740894,UTIL,1600,GS@TOR 06/02/2019 08:00PM ET,GS,13.42
SG,Damion Lee (12740932),Damion Lee,12740932,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,GS,9.11
SF,Marcus Derrickson (12740933),Marcus Derrickson,12740933,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,GS,6.3
PG,Jordan Loyd (12740934),Jordan Loyd,12740934,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,4.19
SG,Jacob Evans III (12740935),Jacob Evans III,12740935,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,GS,4.05
PF,Chris Boucher (12740936),Chris Boucher,12740936,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,7.96
PF,Eric Moreland (12740937),Eric Moreland,12740937,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,4.92
SG,Jodie Meeks (12740938),Jodie Meeks,12740938,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,6.16
PF,Malcolm Miller (12740939),Malcolm Miller,12740939,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,3.63
PG,Jeremy Lin (12740940),Jeremy Lin,12740940,CPT,1500,GS@TOR 06/02/2019 08:00PM ET,TOR,17.07
SF,OG Anunoby (12740895),OG Anunoby,12740895,UTIL,1400,GS@TOR 06/02/2019 08:00PM ET,TOR,13.85
C,Andrew Bogut (12740896),Andrew Bogut,12740896,UTIL,1400,GS@TOR 06/02/2019 08:00PM ET,GS,11.88
SG,Patrick McCaw (12740897),Patrick McCaw,12740897,UTIL,1200,GS@TOR 06/02/2019 08:00PM ET,TOR,6.51
C,Damian Jones (12740898),Damian Jones,12740898,UTIL,1200,GS@TOR 06/02/2019 08:00PM ET,GS,12.47
SG,Damion Lee (12740899),Damion Lee,12740899,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,GS,9.11
SF,Marcus Derrickson (12740900),Marcus Derrickson,12740900,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,GS,6.3
PG,Jordan Loyd (12740901),Jordan Loyd,12740901,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,4.19
SG,Jacob Evans III (12740902),Jacob Evans III,12740902,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,GS,4.05
PF,Chris Boucher (12740903),Chris Boucher,12740903,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,7.96
PF,Eric Moreland (12740904),Eric Moreland,12740904,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,4.92
SG,Jodie Meeks (12740905),Jodie Meeks,12740905,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,6.16
PF,Malcolm Miller (12740906),Malcolm Miller,12740906,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,3.63
PG,Jeremy Lin (12740907),Jeremy Lin,12740907,UTIL,1000,GS@TOR 06/02/2019 08:00PM ET,TOR,17.07
