Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Tanner Anderson (12740237),Tanner Anderson,12740237,P,4000,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
RP,Cionel Perez (12740279),Cionel Perez,12740279,P,4000,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
RP,Pedro Beato (12739811),Pedro Beato,12739811,P,4000,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
RP,Josh Smoker (12739833),Josh Smoker,12739833,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
RP,Jeremy Bleich (12739857),Jeremy Bleich,12739857,P,4000,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
RP,Daniel Corcino (12739925),Daniel Corcino,12739925,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
C,J.T. Realmuto (12739967),J.T. Realmuto,12739967,C,4000,PHI@LAD 05/31/2019 10:10PM ET,PHI,7.77
RP,Kevin Quackenbush (12740022),Kevin Quackenbush,12740022,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
RP,Adam McCreery (12740033),Adam McCreery,12740033,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
SS,Corey Seager (12740066),Corey Seager,12740066,SS,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,7.26
RP,Layne Somsen (12740124),Layne Somsen,12740124,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
SP,Mitch White (12740267),Mitch White,12740267,P,4000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
RP,Carlos Torres (12739788),Carlos Torres,12739788,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
1B,Neil Walker (12739789),Neil Walker,12739789,1B,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,5.49
1B/OF,Wil Myers (12739889),Wil Myers,12739889,1B/OF,4000,MIA@SD 05/31/2019 10:10PM ET,SD,6.67
RP,Ryan Bollinger (12739923),Ryan Bollinger,12739923,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
C,Jorge Alfaro (12739997),Jorge Alfaro,12739997,C,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,6.81
RP,R.J. Alvarez (12740003),R.J. Alvarez,12740003,P,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
RP,Kazuhisa Makita (12740009),Kazuhisa Makita,12740009,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
RP,Brett Graves (12740039),Brett Graves,12740039,P,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
RP,Merandy Gonzalez (12740112),Merandy Gonzalez,12740112,P,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
RP,Ben Meyer (12740155),Ben Meyer,12740155,P,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
RP,Jeff Brigham (12740170),Jeff Brigham,12740170,P,4000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
RP,Eric Stout (12740175),Eric Stout,12740175,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
RP,Kyle McGrath (12740191),Kyle McGrath,12740191,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
SP,Anderson Espinoza (12740217),Anderson Espinoza,12740217,P,4000,MIA@SD 05/31/2019 10:10PM ET,SD,0
RP,Jim Johnson (12739769),Jim Johnson,12739769,P,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
1B/OF,Jay Bruce (12739794),Jay Bruce,12739794,1B/OF,4000,LAA@SEA 05/31/2019 10:10PM ET,SEA,7.74
C,Jonathan Lucroy (12739829),Jonathan Lucroy,12739829,C,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,6.84
RP,JC Ramirez (12739846),JC Ramirez,12739846,P,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
OF,Brian Goodwin (12739907),Brian Goodwin,12739907,OF,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,6.86
RP,Deck McGuire (12739962),Deck McGuire,12739962,P,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
RP,Tyler Danish (12740114),Tyler Danish,12740114,P,4000,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
RP,Greg Mahle (12740181),Greg Mahle,12740181,P,4000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
RP,Art Warren (12740239),Art Warren,12740239,P,4000,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
RP,Wyatt Mills (12740274),Wyatt Mills,12740274,P,4000,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
SP,Logan Gilbert (12740283),Logan Gilbert,12740283,P,4000,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
1B,Matt Olson (12740061),Matt Olson,12740061,1B,3900,HOU@OAK 05/31/2019 10:07PM ET,OAK,8.5
SS,Jean Segura (12739881),Jean Segura,12739881,SS,3900,PHI@LAD 05/31/2019 10:10PM ET,PHI,8.78
3B/OF,Jon Berti (12740029),Jon Berti,12740029,3B/OF,3900,MIA@SD 05/31/2019 10:10PM ET,MIA,5.14
OF,Justin Upton (12739807),Justin Upton,12739807,OF,3900,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
1B/2B,Aledmys Diaz (12740143),Aledmys Diaz,12740143,1B/2B,3800,HOU@OAK 05/31/2019 10:07PM ET,HOU,7.06
OF,A.J. Pollock (12739883),A.J. Pollock,12739883,OF,3800,PHI@LAD 05/31/2019 10:10PM ET,LAD,6.14
OF,Alex Verdugo (12740167),Alex Verdugo,12740167,OF,3800,PHI@LAD 05/31/2019 10:10PM ET,LAD,6.26
OF,Franmil Reyes (12740054),Franmil Reyes,12740054,OF,3800,MIA@SD 05/31/2019 10:10PM ET,SD,6.89
C,Omar Narvaez (12739926),Omar Narvaez,12739926,C,3800,LAA@SEA 05/31/2019 10:10PM ET,SEA,7
SS,Andrelton Simmons (12739969),Andrelton Simmons,12739969,SS,3800,LAA@SEA 05/31/2019 10:10PM ET,LAA,7.39
OF,Shohei Ohtani (12740101),Shohei Ohtani,12740101,OF,3800,LAA@SEA 05/31/2019 10:10PM ET,LAA,6.32
C,Josh Phegley (12739885),Josh Phegley,12739885,C,3700,HOU@OAK 05/31/2019 10:07PM ET,OAK,7.12
OF,Jake Marisnick (12739893),Jake Marisnick,12739893,OF,3700,HOU@OAK 05/31/2019 10:07PM ET,HOU,5.67
1B/OF,Mark Canha (12739943),Mark Canha,12739943,1B/OF,3700,HOU@OAK 05/31/2019 10:07PM ET,OAK,7.34
SS,Marcus Semien (12739950),Marcus Semien,12739950,SS,3700,HOU@OAK 05/31/2019 10:07PM ET,OAK,8.11
2B,Cesar Hernandez (12739916),Cesar Hernandez,12739916,2B,3700,PHI@LAD 05/31/2019 10:10PM ET,PHI,7.67
OF,Roman Quinn (12740014),Roman Quinn,12740014,OF,3700,PHI@LAD 05/31/2019 10:10PM ET,PHI,2.43
2B/3B,Greg Garcia (12739954),Greg Garcia,12739954,2B/3B,3700,MIA@SD 05/31/2019 10:10PM ET,SD,4.65
3B/SS,Manny Machado (12739960),Manny Machado,12739960,3B/SS,3700,MIA@SD 05/31/2019 10:10PM ET,SD,7.36
1B,Albert Pujols (12739764),Albert Pujols,12739764,1B,3700,LAA@SEA 05/31/2019 10:10PM ET,LAA,6.83
1B,David Freese (12739823),David Freese,12739823,1B,3600,PHI@LAD 05/31/2019 10:10PM ET,LAD,5.26
C,Austin Barnes (12740006),Austin Barnes,12740006,C,3600,PHI@LAD 05/31/2019 10:10PM ET,LAD,5.98
3B/OF,Scott Kingery (12740201),Scott Kingery,12740201,3B/OF,3600,PHI@LAD 05/31/2019 10:10PM ET,PHI,6.71
OF,Curtis Granderson (12739772),Curtis Granderson,12739772,OF,3600,MIA@SD 05/31/2019 10:10PM ET,MIA,5.22
OF,Jose Pirela (12739880),Jose Pirela,12739880,OF,3600,MIA@SD 05/31/2019 10:10PM ET,SD,0
3B/OF,Brian Anderson (12740035),Brian Anderson,12740035,3B/OF,3600,MIA@SD 05/31/2019 10:10PM ET,MIA,6.11
OF,Harold Ramirez (12740090),Harold Ramirez,12740090,OF,3600,MIA@SD 05/31/2019 10:10PM ET,MIA,7.47
1B/OF,Garrett Cooper (12740118),Garrett Cooper,12740118,1B/OF,3600,MIA@SD 05/31/2019 10:10PM ET,MIA,6.55
C,Francisco Mejia (12740137),Francisco Mejia,12740137,C,3600,MIA@SD 05/31/2019 10:10PM ET,SD,2.84
SS,Tim Beckham (12739851),Tim Beckham,12739851,SS,3600,LAA@SEA 05/31/2019 10:10PM ET,SEA,7.78
OF,Stephen Piscotty (12739922),Stephen Piscotty,12739922,OF,3500,HOU@OAK 05/31/2019 10:07PM ET,OAK,7.52
OF,Nick Martini (12740004),Nick Martini,12740004,OF,3500,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
OF,Dustin Fowler (12740123),Dustin Fowler,12740123,OF,3500,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
2B/OF,Kike Hernandez (12739899),Kike Hernandez,12739899,2B/OF,3500,PHI@LAD 05/31/2019 10:10PM ET,LAD,6.33
OF,Alex Dickerson (12739939),Alex Dickerson,12739939,OF,3500,MIA@SD 05/31/2019 10:10PM ET,SD,1.25
OF,Brian Miller (12740260),Brian Miller,12740260,OF,3500,MIA@SD 05/31/2019 10:10PM ET,MIA,0
2B,Jurickson Profar (12739977),Jurickson Profar,12739977,2B,3400,HOU@OAK 05/31/2019 10:07PM ET,OAK,6.82
OF,Derek Fisher (12740021),Derek Fisher,12740021,OF,3400,HOU@OAK 05/31/2019 10:07PM ET,HOU,5.33
OF,Ronnie Dawson (12740221),Ronnie Dawson,12740221,OF,3400,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
OF,Kyle Tucker (12740225),Kyle Tucker,12740225,OF,3400,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
OF,Shane Peterson (12739859),Shane Peterson,12739859,OF,3400,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
OF,Dylan Cozens (12740070),Dylan Cozens,12740070,OF,3400,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
2B/3B,Christian Villanueva (12739931),Christian Villanueva,12739931,2B/3B,3400,MIA@SD 05/31/2019 10:10PM ET,SD,0
OF,Rosell Herrera (12739956),Rosell Herrera,12739956,OF,3400,MIA@SD 05/31/2019 10:10PM ET,MIA,3.08
OF,Gabriel Guerrero (12740011),Gabriel Guerrero,12740011,OF,3400,MIA@SD 05/31/2019 10:10PM ET,MIA,0
OF,Magneuris Sierra (12740107),Magneuris Sierra,12740107,OF,3400,MIA@SD 05/31/2019 10:10PM ET,MIA,0
3B/SS,Joe Dunand (12740188),Joe Dunand,12740188,3B/SS,3400,MIA@SD 05/31/2019 10:10PM ET,MIA,0
1B,Justin Bour (12739911),Justin Bour,12739911,1B,3400,LAA@SEA 05/31/2019 10:10PM ET,LAA,5.27
3B,Kaleb Cowart (12739964),Kaleb Cowart,12739964,3B,3400,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
1B,Jared Walsh (12740153),Jared Walsh,12740153,1B,3400,LAA@SEA 05/31/2019 10:10PM ET,LAA,4.38
OF,Robbie Grossman (12739866),Robbie Grossman,12739866,OF,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,6.15
1B/3B,Eric Campbell (12739867),Eric Campbell,12739867,1B/3B,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
1B,AJ Reed (12740038),AJ Reed,12740038,1B,3300,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
C,Bruce Maxwell (12740068),Bruce Maxwell,12740068,C,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
2B/OF,Chad Pinder (12740095),Chad Pinder,12740095,2B/OF,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,5.72
OF,Ramon Laureano (12740178),Ramon Laureano,12740178,OF,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,6.42
OF,Tyler Ramirez (12740219),Tyler Ramirez,12740219,OF,3300,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
1B,Edwin Rios (12740151),Edwin Rios,12740151,1B,3300,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
2B/SS,Dixon Machado (12739927),Dixon Machado,12739927,2B/SS,3300,MIA@SD 05/31/2019 10:10PM ET,MIA,0
OF,Travis Jankowski (12740001),Travis Jankowski,12740001,OF,3300,MIA@SD 05/31/2019 10:10PM ET,SD,0
OF,Josh Naylor (12740227),Josh Naylor,12740227,OF,3300,MIA@SD 05/31/2019 10:10PM ET,SD,4.8
3B,Kyle Seager (12739888),Kyle Seager,12739888,3B,3300,LAA@SEA 05/31/2019 10:10PM ET,SEA,5.33
C,Kevan Smith (12740043),Kevan Smith,12740043,C,3300,LAA@SEA 05/31/2019 10:10PM ET,LAA,5.82
3B,Taylor Ward (12740208),Taylor Ward,12740208,3B,3300,LAA@SEA 05/31/2019 10:10PM ET,LAA,1.25
C,Robinson Chirinos (12739768),Robinson Chirinos,12739768,C,3200,HOU@OAK 05/31/2019 10:07PM ET,HOU,7.02
OF,Josh Reddick (12739824),Josh Reddick,12739824,OF,3200,HOU@OAK 05/31/2019 10:07PM ET,HOU,6.71
C/OF,Chris Herrmann (12739870),Chris Herrmann,12739870,C/OF,3200,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
C,Beau Taylor (12739999),Beau Taylor,12739999,C,3200,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
3B,Sheldon Neuse (12740134),Sheldon Neuse,12740134,3B,3200,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
2B/SS,Franklin Barreto (12740140),Franklin Barreto,12740140,2B/SS,3200,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
OF,J.J. Matijevic (12740185),J.J. Matijevic,12740185,OF,3200,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
OF,Myles Straw (12740240),Myles Straw,12740240,OF,3200,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
C,Russell Martin (12739771),Russell Martin,12739771,C,3200,PHI@LAD 05/31/2019 10:10PM ET,LAD,5.08
3B,Trevor Plouffe (12739790),Trevor Plouffe,12739790,3B,3200,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
OF,Paulo Orlando (12739808),Paulo Orlando,12739808,OF,3200,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
OF,Lane Adams (12739903),Lane Adams,12739903,OF,3200,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
2B/OF,Chris Taylor (12740051),Chris Taylor,12740051,2B/OF,3200,PHI@LAD 05/31/2019 10:10PM ET,LAD,4.94
OF,Drew Jackson (12740086),Drew Jackson,12740086,OF,3200,PHI@LAD 05/31/2019 10:10PM ET,LAD,0.67
OF,Jeren Kendall (12740186),Jeren Kendall,12740186,OF,3200,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
3B,Deven Marrero (12739906),Deven Marrero,12739906,3B,3200,MIA@SD 05/31/2019 10:10PM ET,MIA,0
SS,JT Riddle (12739984),JT Riddle,12739984,SS,3200,MIA@SD 05/31/2019 10:10PM ET,MIA,2.73
OF,Austin Dean (12740072),Austin Dean,12740072,OF,3200,MIA@SD 05/31/2019 10:10PM ET,MIA,4.21
2B,Luis Urias (12740161),Luis Urias,12740161,2B,3200,MIA@SD 05/31/2019 10:10PM ET,SD,2
OF,Monte Harrison (12740166),Monte Harrison,12740166,OF,3200,MIA@SD 05/31/2019 10:10PM ET,MIA,0
OF,Denard Span (12739776),Denard Span,12739776,OF,3200,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
SS,J.P. Crawford (12740113),J.P. Crawford,12740113,SS,3200,LAA@SEA 05/31/2019 10:10PM ET,SEA,6.24
2B/SS,Luis Rengifo (12740148),Luis Rengifo,12740148,2B/SS,3200,LAA@SEA 05/31/2019 10:10PM ET,LAA,5.5
OF,Dom Thompson-Williams (12740184),Dom Thompson-Williams,12740184,OF,3200,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
1B/2B,Corban Joseph (12739861),Corban Joseph,12739861,1B/2B,3100,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
SS,Jorge Mateo (12740065),Jorge Mateo,12740065,SS,3100,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
OF,Luis Barrera (12740105),Luis Barrera,12740105,OF,3100,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
1B/3B,Yuli Gurriel (12740146),Yuli Gurriel,12740146,1B/3B,3100,HOU@OAK 05/31/2019 10:07PM ET,HOU,6.52
3B/SS,Sean Rodriguez (12739780),Sean Rodriguez,12739780,3B/SS,3100,PHI@LAD 05/31/2019 10:10PM ET,PHI,4.64
OF,Odubel Herrera (12739930),Odubel Herrera,12739930,OF,3100,PHI@LAD 05/31/2019 10:10PM ET,PHI,5.28
OF,Andrew Toles (12739970),Andrew Toles,12739970,OF,3100,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
3B,Maikel Franco (12739978),Maikel Franco,12739978,3B,3100,PHI@LAD 05/31/2019 10:10PM ET,PHI,6.35
3B/SS,Mitch Walding (12740018),Mitch Walding,12740018,3B/SS,3100,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
1B/OF,Matt Beaty (12740045),Matt Beaty,12740045,1B/OF,3100,PHI@LAD 05/31/2019 10:10PM ET,LAD,4.07
SS,Gavin Lux (12740263),Gavin Lux,12740263,SS,3100,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
2B,Ian Kinsler (12739779),Ian Kinsler,12739779,2B,3100,MIA@SD 05/31/2019 10:10PM ET,SD,4.91
SS,Isan Diaz (12740168),Isan Diaz,12740168,SS,3100,MIA@SD 05/31/2019 10:10PM ET,MIA,0
SS,Bryson Brigman (12740194),Bryson Brigman,12740194,SS,3100,MIA@SD 05/31/2019 10:10PM ET,MIA,0
C,Austin Allen (12740231),Austin Allen,12740231,C,3100,MIA@SD 05/31/2019 10:10PM ET,SD,2.2
3B,James Nelson (12740241),James Nelson,12740241,3B,3100,MIA@SD 05/31/2019 10:10PM ET,MIA,0
3B,Ty France (12740244),Ty France,12740244,3B,3100,MIA@SD 05/31/2019 10:10PM ET,SD,4.72
2B/3B,Ryan Schimpf (12739896),Ryan Schimpf,12739896,2B/3B,3100,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
OF,Jarrett Parker (12739946),Jarrett Parker,12739946,OF,3100,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
C,Mike Marjama (12740008),Mike Marjama,12740008,C,3100,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
2B,Shed Long (12740130),Shed Long,12740130,2B,3100,LAA@SEA 05/31/2019 10:10PM ET,SEA,5.36
OF,Jake Fraley (12740204),Jake Fraley,12740204,OF,3100,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
3B/SS,Dylan Moore (12740232),Dylan Moore,12740232,3B/SS,3100,LAA@SEA 05/31/2019 10:10PM ET,SEA,3.43
C,Evan Gattis (12739979),Evan Gattis,12739979,C,3000,HOU@OAK 05/31/2019 10:07PM ET,HOU,0
2B/OF,Tony Kemp (12740092),Tony Kemp,12740092,2B/OF,3000,HOU@OAK 05/31/2019 10:07PM ET,HOU,4.5
SS,Kevin Merrell (12740255),Kevin Merrell,12740255,SS,3000,HOU@OAK 05/31/2019 10:07PM ET,OAK,0
OF,Ezequiel Carrera (12739844),Ezequiel Carrera,12739844,OF,3000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
2B/SS,Daniel Castro (12739993),Daniel Castro,12739993,2B/SS,3000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
